Carimbo de data/hora,"Esta pesquisa manterá todas as respostas em anonimato, garantindo a privacidade dos respondentes. Apenas resultados consolidados, como médias, de todos os respondentes serão divulgados.

Nenhuma informação pessoal sua será divulgada. Ao responder a este formulário, você dá seu consentimento livre e esclarecido para participar da pesquisa. O link para o Termo de Consentimento Livre e Esclarecido completo para esta pesquisa: TCLE.  Clique em “Aceito os termos de consentimento” para responder ao questionário.",Você trabalha ou já trabalhou na área de tecnologia?,Qual a sua faixa etária?,Quais destes modelos de trabalho você já experienciou?,"Qual é o seu modelo de trabalho atual? Se você trabalha em mais de um modelo, marque o principal e o considere como ""modelo de trabalho atual"" nas próximas perguntas.",Há quanto tempo você utiliza o seu modelo de trabalho atual? ,Como você classifica a influência do seu modelo de trabalho atual na sua performance?,Quais são as principais vantagens do seu modelo de trabalho atual?,Quais são as principais desvantagens do seu modelo de trabalho atual?,Qual modelo de trabalho você considera melhor?,"Com base no seu modelo de trabalho atual, há alguma experiência que você gostaria de compartilhar para contribuir com nossa pesquisa?  "
17/05/2023 15:11:30,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Mais conforto, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Falta de supervisão direta",Remoto,
17/05/2023 15:12:48,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Presencial,Entre 1 e 3 anos,4,"Comunicação mais efetiva, Maior satisfação, Maior produtividade",Custos adicionais,Presencial,
17/05/2023 15:13:08,Aceito os termos de consentimento,Sim,18 - 25 anos,Presencial,Presencial,Há 1 ano ou menos,4,"Comunicação mais efetiva, Maior satisfação, Maior concentração, Maior produtividade",Custos adicionais,Híbrido (presencial e remoto),O modelo presencial me permite ter mais foco e a minha produtividade aumenta significantemente.
17/05/2023 15:27:23,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Entre 1 e 3 anos,5,"Maior flexibilidade geográfica, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional",Remoto,
17/05/2023 15:47:23,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior produtividade","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Falta de supervisão direta, Dificuldade em manter o foco, Necessidades maiores de infraestrutura (computador, internet e energia)",Presencial,
17/05/2023 15:48:38,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto",Remoto,Entre 1 e 3 anos,4,"Maior flexibilidade geográfica, Mais conforto, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Esgotamento mental ou físico",Remoto,
17/05/2023 16:34:32,Aceito os termos de consentimento,Sim,18 - 25 anos,Remoto,Remoto,Há 1 ano ou menos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional, Falta de supervisão direta, Dificuldade em manter o foco, Esgotamento mental ou físico",Híbrido (presencial e remoto),"Acho que é muito importante saber de primeira mão que caso você queria trabalhar 100% remoto é necessário ter bastante disciplina e um espaço bem organizado, um espaço que você possa separar bem o que é o trabalho e o que é lazer, a confusão entre essas duas coisas sempre resulta em um estresse acumulado."
17/05/2023 17:18:30,Aceito os termos de consentimento,Não,,,,,,,,,
17/05/2023 17:30:48,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Remoto,Entre 3 e 5 anos,5,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Custos adicionais",Remoto,
17/05/2023 18:16:09,Aceito os termos de consentimento,Sim,25 - 30 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Entre 5 e 10 anos,5,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação",Falta de interação com colegas de trabalho,Híbrido (presencial e remoto),
17/05/2023 18:21:39,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto",Remoto,Entre 3 e 5 anos,4,"Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Dificuldade em manter o foco",Remoto,
17/05/2023 19:00:14,Aceito os termos de consentimento,Não,,,,,,,,,
17/05/2023 19:02:11,Aceito os termos de consentimento,Não,,,,,,,,,
17/05/2023 19:07:30,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Híbrido (presencial e remoto),Há 1 ano ou menos,5,"Comunicação mais efetiva, Maior flexibilidade geográfica, Mais tempo livre, Mais conforto, Maior satisfação, Maior concentração, Maior produtividade, Economia de tempo e dinheiro com transporte e alimentação","Falta de interação com colegas de trabalho, Dificuldade em separar vida pessoal e profissional",Híbrido (presencial e remoto),
17/05/2023 20:27:42,Aceito os termos de consentimento,Não,,,,,,,,,
17/05/2023 22:48:08,Aceito os termos de consentimento,Sim,18 - 25 anos,"Presencial, Remoto, Híbrido (presencial e remoto)",Presencial,Há 1 ano ou menos,5,"Comunicação mais efetiva, Maior concentração, Maior produtividade","Custos adicionais, Tempo de deslocamento elevado.",Híbrido (presencial e remoto),"De acordo com a minha experiência, o modelo de trabalho presencial traz vantagens nos quesitos comunicação e foco. Além do mais, o contato com outras pessoas proporciona uma melhor interação social, fato esse que ajuda no aumento da produtividade. Apesar disso, o fato de o trabalho ser presencial faz com que seja necessário gastar mais com transporte e alimentação. Além disso, outro ponto a ser observado é o maior gasto de tempo para ir e voltar do trabalho,algo que, muitas vezes, gera a necessidade de acordar mais cedo."
19/05/2023 11:54:40,Aceito os termos de consentimento,Sim,18 - 25 anos,Híbrido (presencial e remoto),Híbrido (presencial e remoto),Entre 1 e 3 anos,4,"Mais tempo livre, Mais conforto, Maior concentração, Economia de tempo e dinheiro com transporte e alimentação","Dificuldade em separar vida pessoal e profissional, Falta de motivação, Esgotamento mental ou físico",Híbrido (presencial e remoto),
22/05/2023 19:45:56,Aceito os termos de consentimento,Sim,25 - 30 anos,"Presencial, Remoto",Remoto,Há 1 ano ou menos,4,"Maior flexibilidade geográfica, Mais tempo livre, Maior satisfação","Falta de interação com colegas de trabalho, Falta de motivação",Remoto,
